종목코드,종목명
060310,3S
095570,AJ네트웍스
006840,AK홀딩스
054620,APS
265520,AP시스템
211270,AP위성
027410,BGF
126600,BGF에코머티리얼즈
001460,BYC
013720,CBI
083790,CG인바이츠
079160,CJ CGV
311690,CJ 바이오사이언스
011150,CJ씨푸드
051500,CJ프레시웨이
058820,CMG제약
023460,CNH
056730,CNT85
000480,CR홀딩스
000590,CS홀딩스
012030,DB
016610,DB금융투자
025440,DH오토웨어
001530,DI동일
001880,DL건설
068790,DMS
007340,DN오토모티브
004840,DRB동일
241520,DSC인베스트먼트
155660,DSR
069730,DSR제강
180400,DXVX
017940,E1
037370,EG
007700,F&F홀딩스
214270,FSN
114090,GKL
900290,GRT
083450,GST
001250,GS글로벌
297890,HB솔루션
078150,HB테크놀러지
012630,HDC
039570,HDC랩스
089470,HDC현대EP
294870,HDC현대산업개발
322000,HD현대에너지솔루션
097230,HJ중공업
014790,HL D&I
003580,HLB글로벌
278650,HLB바이오스텝
024850,HLB이노베이션
047920,HLB제약
115450,HLB테라퓨틱스
046210,HLB파나진
060980,HL홀딩스
036640,HRS
082740,HSD엔진
035000,HS애드
234080,JW생명과학
067290,JW신약
001060,JW중외제약
096760,JW홀딩스
318000,KBG
021320,KCC건설
344820,KCC글라스
036670,KCI
009070,KCTC
009440,KC그린홀딩스
119650,KC코트렐
092220,KEC
151860,KG ETS
046440,KG모빌리언스
016380,KG스틸
035600,KG이니시스
001390,KG케미칼
033180,KH 필룩스
060720,KH바텍
015590,KIB플러그에너지
001940,KISCO홀딩스
058400,KNN
025000,KPX케미칼
092230,KPX홀딩스
044450,KSS해운
058850,KTcs
058860,KTis
122450,KX
052900,KX하이텍
376190,LB루셈
061970,LB세미콘
093050,LF
037560,LG헬로비전
000680,LS네트웍스
060370,LS마린솔루션
229640,LS전선아시아
108670,LX하우시스
383800,LX홀딩스
086960,MDS테크
160550,NEW
053290,NE능률
181710,NHN
060250,NHN KCP
104200,NHN벅스
034310,NICE
008260,NI스틸
004250,NPC
178920,PI첨단소재
024940,PN풍년
218410,RFHIC
327260,RF머트리얼즈
019550,SBI인베스트먼트
950110,SBI핀테크솔루션즈
034120,SBS
151910,SBW생명과학
036120,SCI평가정보
099220,SDN
036540,SFA반도체
255220,SG
005090,SGC에너지
016250,SGC이테크건설
001380,SG글로벌
004060,SG세계물산
002360,SH에너지화학
009160,SIMPAC
006120,SK디스커버리
210980,SK디앤디
068400,SK렌터카
001510,SK증권
048550,SM C&C
063440,SM Life Design
003570,SNT다이내믹스
064960,SNT모티브
100840,SNT에너지
036530,SNT홀딩스
005610,SPC삼립
011810,STX
077970,STX엔진
071970,STX중공업
289080,SV인베스트먼트
032540,TJ미디어
022220,TKG애강
069260,TKG휴켐스
002900,TYM
057030,YBM넷
037270,YG PLUS
040300,YTN
052220,iMBC
079940,가비아
078890,가온그룹
000500,가온전선
036620,감성코퍼레이션
000860,강남제비스코
217730,강스템바이오텍
114190,강원에너지
094480,갤럭시아머니트리
011420,갤럭시아에스엠
039240,경남스틸
002100,경농
009450,경동나비엔
